ko_ingredient,en_ingredient,use,score
옥틸도데칸올,Octyldodecanol,"향료, 피부유연화제, 용제",1.0
시어버터,Butyrospermum Parkii (Shea) Butter,"피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
스위트아몬드오일,Prunus Amygdalus Dulcis (Sweet Almond) Oil,"향료, 피부컨디셔닝제, 수분증발차단제",1.0
하이드로제네이티드식물성오일,Hydrogenated Vegetable Oil,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
퀸즈랜드넛오일,Macadamia Integrifolia Seed Oil,피부컨디셔닝제(수분차단제),
올레익/리놀레익/리놀레닉폴리글리세라이즈,Oleic/Linoleic/Linolenic Polyglycerides,"결합제, 유화안정제, 피부컨디셔닝제(유연제), 계면활성제(유화제), 점도증가제(비수성)",
쌀겨왁스,Oryza Sativa (Rice) Bran Wax,수분증발차단제,2.0
세라알바,Cera Alba,"유화안정제, 피막형성제, 착향제, 피부컨디셔닝제(유연제)",
글리세릴다이베헤네이트,Glyceryl Dibehenate,피부컨디셔닝제(유연제),1.0
해바라기씨오일불검화물,Helianthus Annuus (Sunflower) Seed Oil Unsaponifiables,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
하이드록시스테아릭/리놀레닉/올레익폴리글리세라이즈,Hydroxystearic/Linolenic/Oleic Polyglycerides,"결합제, 유화안정제, 피부컨디셔닝제(유연제), 계면활성제(유화제), 점도증가제(비수성)",
호호바에스터,Jojoba Esters,"연마제, 피부컨디셔닝제(유연제)",
트라이베헤닌,Tribehenin,피부컨디셔닝제(수분차단제),1.0
왕귤껍질오일,Citrus Grandis (Grapefruit) Peel Oil,"향료, 피부컨디셔닝제",3.0
쌀겨오일,Oryza Sativa (Rice) Bran Oil,수분증발차단제,2.0
사플라워오일/팜오일아미노프로판다이올에스터,Safflower Oil/Palm Oil Aminopropanediol Esters,피부컨디셔닝제(기타),
토코페릴아세테이트,Tocopheryl Acetate,"산화방지제, 피부컨디셔닝제",3.0
시어버터추출물,Butyrospermum Parkii (Shea) Butter Extract,피부컨디셔닝제(유연제),
글리세릴베헤네이트,Glyceryl Behenate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",3.0
레몬껍질오일,Citrus Limon (Lemon) Peel Oil,"착향제, 피부컨디셔닝제(기타)",6.0
아르간커넬오일,Argania Spinosa Kernel Oil,"피부컨디셔닝제(유연제), 피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
꿀,Honey,"피부컨디셔닝제(보습제), 보습제, 용제, 계면활성제(세정제)",1.0
피이지-8,PEG-8,"보습제, 용제",3.0
해바라기씨오일,Helianthus Annuus (Sunflower) Seed Oil,"피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
시트랄,Citral,"감미제, 착향제",5.0
제라니올,Geraniol,착향제,5.0
피마자씨오일,Ricinus Communis (Castor) Seed Oil,"착향제, 피부컨디셔닝제(수분차단제)",
라놀린,Lanolin,"유화안정제, 헤어컨디셔닝제, 피부보호제, 피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
폴리글리세릴-3비즈왁스,Polyglyceryl-3 Beeswax,계면활성제-유화제,1.0
하이드로제네이티드캐스터오일,Hydrogenated Castor Oil,피부컨디셔닝제(수분차단제). 점도증가제(비수성),1.0
잇꽃씨오일,Carthamus Tinctorius (Safflower) Seed Oil,"향료, 수분증발차단제",
암모늄글리시리제이트,Ammonium Glycyrrhizate,"감미제, 향료, 피부컨디셔닝제",1.0
산딸기추출물,Rubus Crataegifolius Fruit Extract,산화방지제,
벤질벤조에이트,Benzyl Benzoate,"착향제, 용제",5.0
펜타에리스리틸테트라에틸헥사노에이트,Pentaerythrityl Tetraethylhexanoate,"결합제, 피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
트라이에틸헥사노인,Triethylhexanoin,"착향제, 헤어컨디셔닝제, 피부컨디셔닝제(수분차단제), 용제",1.0
다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트,Dipentaerythrityl Hexahydroxystearate/Hexastearate/Hexarosinate,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",
실리카다이메틸실릴레이트,Silica Dimethyl Silylate,"안티케이킹제, 벌킹제(증량제), 미끄럼조정제/활택제, 점도증가제(비수성)",1.0
보리지씨오일,Borago Officinalis Seed Oil,피부유연화제,
망고씨버터,Mangifera Indica (Mango) Seed Butter,피부컨디셔닝제(수분차단제),1.0
쿠푸아수씨버터,Theobroma Grandiflorum Seed Butter,피부컨디셔닝제(수분차단제),
솔비탄아이소스테아레이트,Sorbitan Isostearate,계면활성제(유화제),1.0
글리세릴베헤네이트/에이코사디오에이트,Glyceryl Behenate/Eicosadioate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",
합성왁스,Synthetic Wax,"결합제, 유화안정제, 착향제, 점도증가제(비수성)",1.0
에칠헥실메톡시신나메이트,Ethylhexyl Methoxycinnamate,"광안정화제, 자외선차단제",
합성플루오르플로고파이트,Synthetic Fluorphlogopite,"벌킹제(증량제), 점도증가제(수성)",1.0
에틸렌/프로필렌코폴리머,Ethylene/Propylene Copolymer,"피막형성제, 점도증가제(비수성)",
폴리글리세릴-2다이아이소스테아레이트,Polyglyceryl-2 Diisostearate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
비스-에칠헥실옥시페놀메톡시페닐트리아진,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,모발컨디셔닝제,
하이드롤라이즈드익스텐신,Hydrolyzed Extensin,"모발컨디셔닝제, 피부컨디셔닝제",2.0
데하이드로아세틱애씨드,Dehydroacetic Acid,보존제,1.0
부틸파라벤,Butylparaben,"착향제, 보존제",9.0
에틸파라벤,Ethylparaben,"착향제, 보존제",3.0
아이소부틸파라벤,Isobutylparaben,보존제,10.0
프로필파라벤,Propylparaben,"착향제, 보존제",9.0
페러스옥사이드,Ferrous oxide;Iron Oxides;CI 77489,착색제,
적색202호,Lithol Rubine BCA;CI 15850:1,착색제,
하이드로제네이티드캐스터오일아이소스테아레이트,Hydrogenated Castor Oil Isostearate,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
코코넛애씨드,Coconut Acid,계면활성제-세정제,1.0
솔비탄올리베이트,Sorbitan Olivate,계면활성제(유화제),1.0
오조케라이트,Ozokerite,"결합제, 유화안정제, 점증제-비수용성",1.0
카나우바왁스,Copernicia Cerifera (Carnauba) Wax;Copernicia Cerifera Cera,"피막형성제, 피부컨디셔닝제(유연제)",
카프릴릴글라이콜,Caprylyl Glycol,"모발컨디셔닝제, 피부유연화제",1.0
에틸헥실글리세린,Ethylhexylglycerin,피부컨디셔닝제(기타),2.0
"1,2-헥산다이올","1,2-Hexanediol",용제,1.0
에틸헥실팔미테이트,Ethylhexyl Palmitate,"착향제, 피부컨디셔닝제(유연제)",1.0
하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer,"유화안정제, 점도증가제(수성)",
