ko_ingredient,en_ingredient,use,score
카바카바잎/뿌리/줄기추출물,Piper Methysticum Leaf/Root/Stem Extract,피부컨디셔닝제(기타),
겔리듐 세스퀴페다레추출물,Gelidium Sesquipedale Extract,피부보호제,1.0
참갈파래추출물,Ulva Lactuca Extract,피부컨디셔닝제(기타),
감태추출물,Ecklonia Cava Extract,"보습제, 피부컨디셔닝제(보습제)",1.0
개청각추출물,Codium Tomentosum Extract,피부컨디셔닝제(기타),
다시마추출물,Laminaria Japonica Extract,착향제,
구멍갈파래추출물,Ulva Australis Extract,"피부컨디셔닝제(기타), 피부컨디셔닝제(유연제)",
구멍쇠미역추출물,Agarum Cribrosum Extract,피부컨디셔닝제(기타),
미역취추출물,Solidago Virgaurea (Goldenrod) Extract,피부컨디셔닝제(기타),1.0
납작파래추출물,Enteromorpha Compressa Extract,"피부보호제, 피부컨디셔닝제(기타)",
두날리엘라 살리나추출물,Dunaliella Salina Extract,피부컨디셔닝제(기타),1.0
매생이추출물,Capsosiphon Fulvescens Extract,피부컨디셔닝제,
모자반추출물,Sargassum Fulvellum Extract,피부컨디셔닝제(기타),4.0
방사무늬돌김추출물,Porphyra Yezoensis Extract,피부컨디셔닝제(기타),1.0
채찍산호추출물,Sea Whip Extract,,1.0
우뭇가사리추출물,Gelidium Amansii Extract,피부컨디셔닝제(기타),
참미역추출물,Kjellmaniella Gyrata Extract,피부컨디셔닝제(기타),
참산호말추출물,Corallina Officinalis Extract,착향제 피부컨디셔닝제(기타),1.0
청각추출물,Codium Fragile Extract,피부컨디셔닝제(기타),1.0
라미나리아 히페르보레아추출물,Laminaria Hyperborea Extract,착향제,1.0
클로렐라 불가리스추출물,Chlorella Vulgaris Extract,피부컨디셔닝제(기타),
톳추출물,Hizikia Fusiforme Extract;Sargassum Fusiforme Extract,피부컨디셔닝제(기타),
플랑크톤추출물,Plankton Extract,피부컨디셔닝제,1.0
피케아 로부스타추출물,Pikea Robusta Extract,"산화방지제, 피부보호제, 피부컨디셔닝제(기타)",1.0
해삼추출물,Sea Cucumber Extract,"피부보호제, 피부컨디셔닝제(기타)",
호스테일켈프추출물,Laminaria Digitata Extract,"착향제, 피부보호제, 피부컨디셔닝제(기타)",1.0
수용성콜라겐,Soluble Collagen,"모발컨디셔닝제, 피부컨디셔닝제",1.0
하이드롤라이즈드해면,Hydrolyzed Sponge,피부컨디셔닝제,
메칠이소치아졸리논,Methylisothiazolinone,보존제,7.0
소듐폴리감마-글루타메이트,Sodium Polygamma-Glutamate,"유화안정제, 모발고정제, 점도증가제(수성)",1.0
사막장미잎추출물,Adenium Obesum Leaf Extract,피부컨디셔닝제(기타),
요구르트,Yogurt,헤어컨디셔닝제,1.0
달맞이꽃오일,Oenothera Biennis (Evening Primrose) Oil,피부컨디셔닝제,1.0
돌콩스테롤,Glycine Soja (Soybean) Sterols,피부컨디셔닝제(유연제),1.0
소듐다이라우미도글루타미드라이신,Sodium Dilauramidoglutamide Lysine,계면활성제(세정제),1.0
황벽나무껍질추출물,Phellodendron Amurense Bark Extract;Oubaku Ekisu,피부컨디셔닝제(기타),
카퍼피씨에이,Copper PCA,피부보습제,1.0
트리스(테트라메틸하이드록시피페리딘올)시트레이트,Tris(Tetramethylhydroxypiperidinol) Citrate,변색방지제,1.0
피토스테릴라이스브라네이트,Phytosteryl Rice Branate,"모발컨디셔닝제, 보습제, 피부유연화제, 피부보호제",
호호바씨추출물,Simmondsia Chinensis (Jojoba) Seed Extract,피부컨디셔닝제(기타),1.0
소듐피이지-7올리브오일카복실레이트,Sodium PEG-7 Olive Oil Carboxylate,"계면활성제-유화제, 계면활성제-거품형성제, 계면활성제-친수제",3.0
폴리글리세릴-3폴리다이메틸실록시에틸다이메티콘,Polyglyceryl-3 Polydimethylsiloxyethyl Dimethicone,"헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제), 계면활성제(유화제), 계면활성제(용해보조제), 점도증가제(수성)",1.0
에톡시다이글라이콜,Ethoxydiglycol,"착향제, 용제, 점도감소제",2.0
설탕단풍추출물,Acer Saccharum (Sugar Maple) Extract,피부컨디셔닝제(기타),1.0
사탕수수추출물,Saccharum Officinarum (Sugarcane) Extract,"각질제거제, 피부컨디셔닝제",
소듐피씨에이,Sodium PCA,"헤어컨디셔닝제, 보습제, 피부보습제",1.0
얼룩파인애플추출물,Ananas Sativus (Pineapple) Fruit Extract,피부컨디셔닝제(기타),1.0
왕귤껍질추출물,Citrus Grandis (Grapefruit) Peel Extract,피부컨디셔닝제(기타),4.0
디엠디엠하이단토인,DMDM Hydantoin,보존제,
올레아놀릭애씨드,Oleanolic Acid,피부컨디셔닝제,1.0
피이지-60아몬드글리세라이즈,PEG-60 Almond Glycerides,"피부컨디셔닝제(유연제), 계면활성제(유화제)",3.0
포타슘메톡시살리실레이트,Potassium Methoxysalicylate,피부컨디셔닝제(기타),1.0
오일팜커넬오일,Elaeis Guineensis (Palm) Kernel Oil,"피부컨디셔닝제(기타), 피부컨디셔닝제(수분차단제)",
오일팜오일,Elaeis Guineensis (Palm) Oil,피부컨디셔닝제(수분차단제),
피이지/피피지-17/4다이메틸에터,PEG/PPG-17/4 Dimethyl Ether,피부컨디셔닝제(기타),
2-O-에틸아스코빅애씨드,2-O-Ethyl Ascorbic Acid,피부컨디셔닝제(기타),1.0
솔비탄올리에이트,Sorbitan Oleate,"착향제, 계면활성제(유화제)",1.0
라우릴베타인,Lauryl Betaine,"정전기방지제, 헤어컨디셔닝제, 피부컨디셔닝제(기타), 계면활성제(세정제), 계면활성제(거품촉진제), 점도증가제(수성)",1.0
에리스리톨,Erythritol,"보습제, 피부컨디셔닝제(보습제)",1.0
왜광대수염꽃/잎/줄기추출물,Lamium Album Flower/Leaf/Stem Extract,피부컨디셔닝제(기타),
모노기나산사꽃추출물,Crataegus Monogyna Flower Extract;Crataegus Monogina Flower Extract,피부컨디셔닝제(기타),
이노시톨,Inositol,헤어컨디셔닝제 보습제,1.0
구주소나무솔방울추출물,Pinus Sylvestris Cone Extract,착향제,
레티닐아세테이트,Retinyl Acetate,피부컨디셔닝제,
옥수수오일,Zea Mays (Corn) Oil,"향료, 모발컨디셔닝제, 수분증발차단제, 계면활성제-유화제",1.0
아선약추출물,Uncaria Gambir Extract,피부컨디셔닝제(기타),1.0
셀필룸잎추출물,Thymus Serpyllum Leaf Extract,피부컨디셔닝제(기타),
시호뿌리추출물,Bupleurum Falcatum Root Extract,피부컨디셔닝제(기타),
폴리실리콘-15,Polysilicone-15,변색방지제,2.0
폴리부틸렌글라이콜/피피지-9/1코폴리머,Polybutylene Glycol/PPG-9/1 Copolymer,피부컨디셔닝제(기타),
피이지/피피지-14/7다이메틸에터,PEG/PPG-14/7 Dimethyl Ether,피부컨디셔닝제(기타),
에칠아스코빌에텔,Ethyl Ascorbyl Ether,"피부컨디셔닝제, 미백개선(기능성화장품)",
메틸글루세스-10,Methyl Gluceth-10,피부컨디셔닝제(보습제),1.0
토멘틸뿌리추출물,Potentilla Erecta Root Extract,피부컨디셔닝제,
버지니아풍년화잎추출물,Hamamelis Virginiana (Witch Hazel) Leaf Extract,"수렴제, 피부컨디셔닝제(기타)",1.0
탄제린추출물,Citrus Tangerina (Tangerine) Extract,피부컨디셔닝제(기타),
코치닐선인장추출물,Nopalea Cochenillifera Extract,피부컨디셔닝제(기타),
오렌지오일,Citrus Aurantium Dulcis (Orange) Oil,향료,5.0
파네솔,Farnesol,착향제,4.0
밤부사 불가리스추출물,Bambusa Vulgaris Extract,피부컨디셔닝제(기타),
소리쟁이뿌리추출물,Rumex Crispus Root Extract,피부컨디셔닝제(기타),
유칼립투스잎추출물,Eucalyptus Globulus Leaf Extract,피부컨디셔닝제(기타) 피부컨디셔닝제(수분차단제),
가시칠엽수씨추출물,Aesculus Hippocastanum (Horse Chestnut) Seed Extract,피부컨디셔닝제(기타),1.0
양까막까치밥나무잎추출물,Ribes Nigrum (Black Currant) Leaf Extract,피부컨디셔닝제(기타),1.0
연꽃배아추출물,Nelumbo Nucifera Germ Extract,피부컨디셔닝제(보습제),1.0
삼색제비꽃추출물,Viola Tricolor Extract,피부컨디셔닝제(기타),
가자열매추출물,Terminalia Chebula Fruit Extract,피부컨디셔닝제(기타),1.0
하이드롤라이즈드쌀겨추출물,Hydrolyzed Rice Bran Extract,피부컨디셔닝제,3.0
구름버섯추출물,Trametes Versicolor Extract,헤어컨디셔닝제,1.0
해바라기씨드케이크,Helianthus Annuus (Sunflower) Seedcake,"연마제, 흡수제, 벌킹제(증량제)",1.0
다이메톡시실릴에틸렌다이아미노프로필다이메티콘,Dimethoxysilyl Ethylenediaminopropyl Dimethicone,모발컨디셔닝제,
아크릴아마이드코폴리머,Acrylamides Copolymer,"피막형성제, 점증제-수용성",
다이-C12-15알킬다이모늄클로라이드,Di-C12-15 Alkyl Dimonium Chloride,헤어컨디셔닝제,3.0
포도,Vitis Vinifera (Grape),,1.0
산당화씨추출물,Pyrus Cydonia Seed Extract,"착향제, 피부컨디셔닝제(기타)",
소듐헥사메타포스페이트,Sodium Hexametaphosphate,"금속이온봉쇄제, 부식방지제, 착향제",2.0
라반딘꽃추출물,Lavandula Hybrida Flower Extract,착향제,
마돈나백합꽃추출물,Lilium Candidum Flower Extract,"산화방지제, 수렴제, 피부보호제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",
산당화씨,Pyrus Cydonia Seed,"피부컨디셔닝제(기타), 점도증가제(수성)",1.0
알로에베라캘러스배양추출물,Aloe Barbadensis Callus Culture Extract,산화방지제,
트라이아이소노나노인,Triisononanoin,"피부컨디셔닝제(수분차단제), 점도증가제(비수성)",1.0
시트룰린,Citrulline,피부컨디셔닝제,1.0
씨솔트,Sea Salt;Maris Sal,"스크럽제, 피부보습제, 피부컨디셔닝제",
코카미도프로필피지-다이모늄클로라이드포스페이트,Cocamidopropyl PG-Dimonium Chloride Phosphate,"정전기방지제, 헤어컨디셔닝제",3.0
감나무잎추출물,Diospyros Kaki Leaf Extract,피부컨디셔닝제(기타),1.0
피피지-6-데실테트라데세스-30,PPG-6-Decyltetradeceth-30,계면활성제-유화제,
소듐석시네이트,Sodium Succinate,"pH 완충제, pH 조절제",1.0
만노오스,Mannose,"보습제, 피부컨디셔닝제(보습제)",1.0
락토바실러스발효물,Lactobacillus Ferment,,1.0
소듐메틸코코일타우레이트,Sodium Methyl Cocoyl Taurate,계면활성제(세정제),1.0
알지닌코코에이트,Arginine Cocoate,피부컨디셔닝제,1.0
폴리쿼터늄-7,Polyquaternium-7,"정전기방지제, 피막형성제, 모발고정제",4.0
다이-C12-18알킬다이모늄클로라이드,Di-C12-18 Alkyl Dimonium Chloride,헤어컨디셔닝제,1.0
소듐바이카보네이트,Sodium Bicarbonate,"스크럽제, pH 완충제, pH 조절제, 피부보호제",1.0
벤잘코늄클로라이드,Benzalkonium Chloride,"정전기방지제, 보존제, 계면활성제(현탁화제)",5.0
겨우살이잎추출물,Viscum Album (Mistletoe) Leaf Extract,피부컨디셔닝제(기타),1.0
비누풀추출물,Saponaria Officinalis Extract,피부컨디셔닝제(기타),
글리세레스-25피씨에이아이소스테아레이트,Glycereth-25 PCA Isostearate,피부컨디셔닝제(기타),1.0
파스향나무잎추출물,Gaultheria Procumbens (Wintergreen) Leaf Extract,"착향제, 피부컨디셔닝제(기타)",1.0
피이지-8/에스엠디아이코폴리머,PEG-8/SMDI Copolymer,"모발컨디셔닝제, 모발고정제, 가소제, 피부유연화제, 피부컨디셔닝제",
더덕추출물,Codonopsis Lanceolata Extract,"산화방지제, 수렴제, 피부컨디셔닝제(기타)",
석류추출물,Punica Granatum Fruit Extract,피부컨디셔닝제(기타),
알로에베라추출물,Aloe Barbadensis Extract,피부컨디셔닝제(기타),
비스-하이드록시에톡시프로필다이메티콘,Bis-Hydroxyethoxypropyl Dimethicone,피부컨디셔닝제(유연제),1.0
수크로오스폴리스테아레이트,Sucrose Polystearate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
글리세릴운데실레네이트,Glyceryl Undecylenate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
아라키딕애씨드,Arachidic Acid,계면활성제(세정제),1.0
야생딸기잎추출물,Fragaria Vesca (Strawberry) Leaf Extract,피부컨디셔닝제(기타),1.0
카프릴릴/카프릴글루코사이드,Caprylyl/Capryl Glucoside,계면활성제-세정제,
라우릴메틸글루세스-10하이드록시프로필다이모늄클로라이드,Lauryl Methyl Gluceth-10 Hydroxypropyldimonium Chloride,"정전기방지제, 헤어컨디셔닝제",3.0
다이포타슘포스페이트,Dipotassium Phosphate,"부식방지제, pH 조정제",1.0
폴리글리세릴-10다이올리에이트,Polyglyceryl-10 Dioleate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
피이지-8글리세릴아이소스테아레이트,PEG-8 Glyceryl Isostearate,계면활성제(유화제),3.0
마시멜로뿌리추출물,Althaea Officinalis Root Extract,피부컨디셔닝제(기타),1.0
비피다발효용해물,Bifida Ferment Lysate,피부컨디셔닝제,1.0
피이지-75,PEG-75,"결합제, 보습제, 용제",3.0
바오밥나무씨추출물,Adansonia Digitata Seed Extract,피부컨디셔닝제(기타),1.0
트라이펩타이드-32,Tripeptide-32,피부컨디셔닝제(기타),1.0
콜라나무씨추출물,Cola Acuminata Seed Extract,피부컨디셔닝제(기타),
하이드롤라이즈드알진,Hydrolyzed Algin,헤어컨디셔닝제. 피부컨디셔닝제(기타),1.0
올레스-3포스페이트,Oleth-3 Phosphate,계면활성제-유화제,2.0
올레스-30,Oleth-30,"향료, 계면활성제-세정제, 계면활성제-용해보조제",3.0
올레스-5,Oleth-5,"향료, 계면활성제-유화제",3.0
콜레스-24,Choleth-24,계면활성제-유화제,2.0
호호바왁스피이지-120에스터,Jojoba Wax PEG-120 Esters,"계면활성제(세정제), 계면활성제(용해보조제)",
세테스-24,Ceteth-24,"계면활성제-세정제, 계면활성제-용해보조제",3.0
마트리카리아추출물,Chamomilla Recutita (Matricaria) Extract,피부컨디셔닝제(기타),2.0
소듐아크릴레이트/아크릴로나이트로젠코폴리머,,,
옥수수배아유,Zea Mays (Corn) Germ Oil,피부컨디셔닝제(수분차단제),1.0
폴리솔베이트85,Polysorbate 85,"착향제, 계면활성제(유화제)",
솔비탄트라이올리에이트,Sorbitan Trioleate,계면활성제(유화제),1.0
트라이데케인,Tridecane,피부컨디셔닝제(유연제),1.0
카퍼클로로필,Copper Chlorophyll,착색제,
데실글루코사이드,Decyl Glucoside,계면활성제(세정제),2.0
녹색3호,Fast Green FCF;CI 42053,착색제,
글라이콜릭애씨드,Glycolic Acid,pH 조정제,4.0
카프릴로일살리실릭애씨드,Capryloyl Salicylic Acid,피부컨디셔닝제(기타),1.0
폴리글리세릴-6트라이카프릴레이트,Polyglyceryl-6 Tricaprylate,계면활성제(세정제),1.0
생강추출물,Zingiber Officinale (Ginger) Root Extract,"향료, 피부컨디셔닝제",1.0
크레아틴,Creatine,피부컨디셔닝제,1.0
티이에이-코코일글루타메이트,TEA-Cocoyl Glutamate,"모발컨디셔닝제, 계면활성제-세정제",
사카라이드아이소머레이트,Saccharide Isomerate,피부컨디셔닝제(보습제),1.0
트립토판,Tryptophan,"향료, 모발컨디셔닝제",1.0
콩싹추출물,Glycine Max (Soybean) Sprout Extract,피부컨디셔닝제(기타),
목련나무껍질추출물,Magnolia Kobus Bark Extract,피부보습제,1.0
난황추출물,Egg Yolk Extract,계면활성제(유화제),1.0
호프추출물,Humulus Lupulus (Hops) Extract,"착향제, 피부컨디셔닝제(기타)",1.0
서양고추나물꽃/잎/줄기추출물,Hypericum Perforatum Flower/Leaf/Stem Extract,피부컨디셔닝제,
귀리커넬추출물,Avena Sativa (Oat) Kernel Extract,"산화방지제, 피부컨디셔닝제(유연제), 피부컨디셔닝제(기타)",1.0
복사나무잎추출물,Prunus Persica (Peach) Leaf Extract,피부컨디셔닝제(기타),1.0
다이팔미토일하이드록시프롤린,Dipalmitoyl Hydroxyproline,피부컨디셔닝제(기타),1.0
하이드록시프로필스타치포스페이트,Hydroxypropyl Starch Phosphate,"벌킹제, 점증제-수용성",1.0
피이지-75스테아레이트,PEG-75 Stearate,계면활성제-세정제,3.0
하이드로제네이티드포스파티딜콜린,Hydrogenated Phosphatidylcholine,"피부컨디셔닝제, 계면활성제-유화제",1.0
아크릴레이트/스테아릴메타크릴레이트코폴리머,Acrylates/Stearyl Methacrylate Copolymer,"유화안정제, 점증제-수용성",
아세톤,Acetone,"변성제, 향료, 용제",3.0
에틸렌/프로필렌/스타이렌코폴리머,Ethylene/Propylene/Styrene Copolymer,점도증가제(비수성),
로즈마리,,피부컨디셔닝제(기타),
부틸렌/에틸렌/스타이렌코폴리머,Butylene/Ethylene/Styrene Copolymer,점도증가제(비수성),
왕귤씨추출물,Citrus Grandis (Grapefruit) Seed Extract,피부컨디셔닝제(기타),4.0
꽃가루추출물,Pollen Extract,,1.0
나이트블루밍세레우스추출물,Cereus Grandiflorus (Cactus) Extract;Selenicereus Grandiflorus  (Cactus) Extract,"산화방지제, 수렴제, 헤어컨디셔닝제, 피부컨디셔닝제(기타)",
포도주추출물,Wine Extract,"산화방지제, 감미제",1.0
파파인,Papain,"모발컨디셔닝제, 용해제, 피부컨디셔닝제",2.0
코치닐,Cochineal,착색제,3.0
양배추추출물,Brassica Oleracea Capitata (Cabbage) Leaf Extract,피부컨디셔닝제(기타),1.0
소듐설페이트,Sodium Sulfate,점증제-수용성,1.0
칼라민,Calamine,"흡수제, 불투명화제, 피부보호제",1.0
브로멜라인,Bromelain,"용해제, 피부컨디셔닝제",2.0
소듐코코일이세티오네이트,Sodium Cocoyl Isethionate,계면활성제(세정제),1.0
소듐팔미테이트,Sodium Palmitate,"계면활성제-세정제, 계면활성제-유화제, 점증제-수용성",1.0
폴록사머184,Poloxamer 184,"계면활성제-세정제, 계면활성제-용해보조제",4.0
알파-글루칸올리고사카라이드,Alpha-Glucan Oligosaccharide,피부컨디셔닝제,
피피지-13-데실테트라데세스-24,PPG-13-Decyltetradeceth-24,계면활성제-유화제,1.0
코카미도프로필베타인,Cocamidopropyl Betaine,"정전기방지제, 모발컨디셔닝제, 피부컨디셔닝제, 계면활성제-세정제, 계면활성제-거품형성제, 점증제-수용성",5.0
백합나무잎왁스,Liriodendron Tulipifera Leaf Wax,피부컨디셔닝제(유연제),
하이드록시에틸피페라진에탄설포닉애씨드,Hydroxyethylpiperazine Ethane Sulfonic Acid,완충화제,1.0
다이글리세린,Diglycerin,"보습제, 피부컨디셔닝제(보습제)",1.0
하이드롤라이즈드콩가루,Hydrolyzed Soy Flour,피부컨디셔닝제(기타),1.0
매스틱검,Pistacia Lentiscus (Mastic) Gum,"점착제, 피막형성제, 착향제",1.0
녹색201호,Alizarine Cyanine Green F;CI 61570,착색제,
C18-21알케인,C18-21 Alkane,용제,1.0
폴리글리세릴-10베헤네이트/에이코사디오에이트,Polyglyceryl-10 Behenate/Eicosadioate,"피부컨디셔닝제, 계면활성제-유화제",
구상나무잎가루,Abies Koreana Leaf Powder,"감미제, 착향제, 헤어컨디셔닝제, 퍼머넌트웨이브용제/헤어스트레이트너용제, 피부컨디셔닝제(기타)",
카페익애씨드,Caffeic Acid,"산화방지제, 향료",3.0
구상나무잎추출물,Abies Koreana Leaf Extract,"헤어컨디셔닝제, 퍼머넌트웨이브용제/헤어스트레이트너용제, 피부컨디셔닝제(기타)",
수크로오스스테아레이트,Sucrose Stearate,"피부컨디셔닝제(유연제), 계면활성제(유화제)",1.0
p-아니식애씨드,p-Anisic Acid,"감미제, 향료",1.0
살구추출물,Prunus Armeniaca (Apricot) Fruit Extract,피부컨디셔닝제(기타),1.0
글라이코젠,Glycogen,피부컨디셔닝제(기타),1.0
라이신에이치씨엘,Lysine HCl,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
바나나추출물,Musa Sapientum (Banana) Fruit Extract,피부컨디셔닝제,
토마토열매/잎/줄기추출물,Solanum Lycopersicum (Tomato) Fruit/Leaf/Stem Extract,피부컨디셔닝제(기타),
마그네슘글루코네이트,Magnesium Gluconate,피부컨디셔닝제(기타),1.0
아세틸테트라펩타이드-11,Acetyl Tetrapeptide-11,피부컨디셔닝제(기타),
칼슘글루코네이트,Calcium Gluconate,피부컨디셔닝제,1.0
피씨에이,PCA,피부보습제,2.0
히스티딘에이치씨엘,Histidine HCl,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
징크설페이트,Zinc Sulfate,수렴제,4.0
망가니즈설페이트,Manganese Sulfate,피부컨디셔닝제(기타),3.0
레몬버베나잎추출물,Lippia Citrodora Leaf Extract,수렴제,
칼슘판테테인설포네이트,Calcium Pantetheine Sulfonate,피부컨디셔닝제,1.0
말라카이트추출물,Malachite Extract,산화방지제,1.0
흰꽃동충하초/스노우로투스발효추출여과물,Paecilomyces Japonica/Saussurea Involucrata Ferment Extract Filtrate,피부컨디셔닝제(기타),
락토바실러스/레몬껍질발효추출물,Lactobacillus/Lemon Peel Ferment Extract,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
락토바실러스/석류발효추출물,Lactobacillus/Punica Granatum Fruit Ferment Extract,"헤어컨디셔닝제, 피부컨디셔닝제(보습제)",
락토바실러스/토마토발효추출물,Lactobacillus/Tomato Fruit Ferment Extract,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
락토바실러스/파파야열매발효추출물,Lactobacillus/Papaya Fruit Ferment Extract,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",
락토바실러스/수박발효추출물,Lactobacillus/Watermelon Fruit Ferment Extract,피부컨디셔닝제(기타),
밤부사 불가리스잎/줄기추출물,Bambusa Vulgaris Leaf/Stem Extract,,
아라키딜글루코사이드,Arachidyl Glucoside,계면활성제-유화제,2.0
피이지-150,PEG-150,"결합제, 보습제, 용제",6.0
단향오일,Santalum Album (Sandalwood) Oil,착향제,1.0
작약나무껍질/수액추출물,Paeonia Lactiflora Bark/Sap Extract;Paeonia Albiflora Bark /Sap Extract,피부컨디셔닝제(기타),
황기추출물,Astragalus Membranaceus Extract,산화방지제,
참당귀뿌리추출물,Angelica Gigas Root Extract,"헤어컨디셔닝제, 퍼머넌트웨이브용제/헤어스트레이트너용제, 피부컨디셔닝제(기타)",1.0
들깨추출물,Perilla Ocymoides Seed Extract,산화방지제,
인삼열매추출물,Panax Ginseng Berry Extract,"피부보호제, 피부컨디셔닝제(기타)",
폴리아크릴레이트-13,Polyacrylate-13,피막형성제,2.0
사이클로덱스트린,Cyclodextrin,"흡수제, 금속이온봉쇄제",1.0
폴리카프로락톤,Polycaprolactone,현탁화제-비계면활성제,1.0
라우릴피이지/피피지-18/18메티콘,Lauryl PEG/PPG-18/18 Methicone,"피부컨디셔닝제(기타), 계면활성제(유화제)",
피이지-20,PEG-20,"보습제, 용제",3.0
암모늄폴리아크릴로일다이메틸타우레이트,Ammonium Polyacryloyldimethyl Taurate,"유화안정제, 점도증가제(수성)",1.0
살리실로일피토스핑고신,Salicyloyl Phytosphingosine,피부컨디셔닝제(기타),1.0
개박하추출물,Nepeta Cataria Extract,착향제,1.0
라즈베리잎추출물,Rubus Idaeus (Raspberry) Leaf Extract,피부컨디셔닝제(기타),1.0
와일드인디고뿌리추출물,Baptisia Tinctoria Root Extract,피부컨디셔닝제(기타),1.0
별꽃추출물,Stellaria Media (Chickweed) Extract,피부컨디셔닝제(기타),1.0
레이디스맨틀잎추출물,Alchemilla Vulgaris Leaf Extract,"산화방지제, 수렴제, 피부컨디셔닝제(기타)",
다마스크장미꽃추출물,Rosa Damascena Flower Extract,향료,
메도우스위트꽃추출물,Spiraea Ulmaria Flower Extract,피부컨디셔닝제(기타),
아이브라이트추출물,Euphrasia Officinalis Extract,피부컨디셔닝제,
서양측백나무잎추출물,Thuja Occidentalis Leaf Extract,피부컨디셔닝제(기타),2.0
컴프리잎추출물,Symphytum Officinale Leaf Extract,피부컨디셔닝제(기타),
서양톱풀꽃추출물,Achillea Millefolium Flower Extract,"산화방지제, 피부컨디셔닝제(보습제)",
붉은토끼풀꽃추출물,Trifolium Pratense (Clover) Flower Extract,향료,
조름나물잎추출물,Menyanthes Trifoliata Leaf Extract,피부컨디셔닝제(기타),1.0
효모발효여과물,Saccharomyces Ferment Filtrate,피부컨디셔닝제(보습제),
탱자추출물,Poncirus Trifoliata Fruit Extract,피부컨디셔닝제(기타),1.0
글라이코실트레할로오스,Glycosyl Trehalose,"결합제, 유화안정제, 피막형성제, 보습제, 피부보호제",1.0
하이드로제네이티드스타치하이드롤리세이트,Hydrogenated Starch Hydrolysate,"피막형성제, 보습제, 피부보습제",1.0
참깨,Sesamum Indicum (Sesame) Seed,,1.0
자주개자리씨가루,Medicago Sativa (Alfalfa) Seed Powder,피부컨디셔닝제(기타),1.0
스위트아몬드씨가루,Prunus Amygdalus Dulcis (Sweet Almond) Seed Powder,각질제거제,
유칼립톨,Eucalyptol,착향제,1.0
소듐글루코네이트,Sodium Gluconate,"금속이온봉쇄제, 피부컨디셔닝제",1.0
포타슘글루코네이트,Potassium Gluconate,피부보호제,1.0
토코페릴석시네이트,Tocopheryl Succinate,산화방지제,
나이아신,Niacin,"헤어컨디셔닝제, 피부컨디셔닝제(기타)",1.0
효모/보리씨발효여과물,Saccharomyces/Barley Seed Ferment Filtrate,피부컨디셔닝제(보습제),
보리씨추출물,Hordeum Vulgare Seed Extract,피부컨디셔닝제(기타),1.0
포타슘코코일글리시네이트,Potassium Cocoyl Glycinate,"모발컨디셔닝제, 계면활성제-세정제",1.0
세테아레스-20,Ceteareth-20,"계면활성제(세정제), 계면활성제(용해보조제)",3.0
당아욱추출물,Malva Sylvestris (Mallow) Extract,피부컨디셔닝제(기타),
클루이베르마이세스추출물,Kluyveromyces Extract,피부컨디셔닝제(보습제),
달맞이꽃뿌리추출물,Oenothera Biennis (Evening Primrose) Root Extract,피부컨디셔닝제(기타),1.0
그레이트카더멈씨추출물,Aframomum Angustifolium Seed Extract,피부컨디셔닝제(기타),1.0
바이오사카라이드검-2,Biosaccharide Gum-2,피부컨디셔닝제(기타),1.0
소듐토코페릴포스페이트,Sodium Tocopheryl Phosphate,"산화방지제, 유화안정제, 환원제, 피부컨디셔닝제(기타), 계면활성제(유화제), 점도증가제(수성)",1.0
비터오렌지꽃수,Citrus Aurantium Amara (Bitter Orange) Flower Water,"착향제, 피부컨디셔닝제(기타)",2.0
수선화비늘줄기추출물,Narcissus Tazetta Bulb Extract,"산화방지제, 피부유연화제, 피부보습제, 피부보호제",
레불리닉애씨드,Levulinic Acid,"착향제, 피부컨디셔닝제(기타)",1.0
소듐레불리네이트,Sodium Levulinate,피부컨디셔닝제(기타),1.0
쑥잎추출물,Artemisia Princeps Leaf Extract,피부컨디셔닝제(기타),1.0
스테아라미도프로필다이메틸아민,Stearamidopropyl Dimethylamine,"정전기방지제, 헤어컨디셔닝제",4.0
피이지-10아이소스테아레이트,PEG-10 Isostearate,"계면활성제(세정제), 계면활성제(유화제)",3.0
첨차잎추출물,Rubus Suavissimus (Raspberry) Leaf Extract,피부컨디셔닝제(기타),1.0
루이보스잎추출물,Aspalathus Linearis Leaf Extract,피부컨디셔닝제(기타),
중국당귀뿌리추출물,Angelica Polymorpha Sinensis Root Extract,피부컨디셔닝제(유연제),
분홍바늘꽃잎추출물,Epilobium Angustifolium Leaf Extract,피부컨디셔닝제,
녹차캘러스배양액,Camellia Sinensis Callus Culture Conditioned Media,"산화방지제, 피부보호제, 피부컨디셔닝제(기타)",
녹차캘러스배양추출물,Camellia Sinensis Callus Culture Extract,피부컨디셔닝제(기타),1.0
에피갈로카테킨갈레이트,Epigallocatechin Gallate,산화방지제,2.0
