keyword,embedding
유명,"[0.3269801437854767, -0.7996097803115845, -0.1467500776052475, 0.45299604535102844, 0.9318347573280334, 0.4138079881668091, 0.2389669269323349, -0.3445567488670349, 0.3706223964691162, 0.2127491533756256, 0.17119857668876648, -0.19521836936473846, -0.623798668384552, 0.415513277053833, 0.04170195013284683, 0.9021334052085876, 0.6183521151542664, 0.8493050336837769, 0.20813056826591492, -0.031247064471244812, 0.041778262704610825, 0.13851435482501984, 0.10435023158788681, -0.028259452432394028, 0.31991034746170044, -0.2123885154724121, 0.2512666881084442, 0.07526600360870361, 0.2245144546031952, -0.14019478857517242, 0.0740075334906578, 0.15704993903636932, 0.1193336769938469, -0.24497821927070618, 0.11137152463197708, 0.18433064222335815, -0.1127011626958847, -0.2893051505088806, -0.5532549619674683, -0.5994904637336731, 0.0020019044168293476, -0.1869024932384491, 0.37109509110450745, 0.07277093827724457, -0.014765666797757149, 0.2756592333316803, 0.5792096853256226, -0.3477522134780884, -0.08777378499507904, -0.5945442318916321, -0.12248142808675766, -0.19951866567134857, -0.4059593081474304, 0.23810064792633057, -0.4719301164150238, 0.33042776584625244, 0.012609350495040417, 0.18035995960235596, 0.31039783358573914, -0.4643268585205078, 0.03750750049948692, -0.21335604786872864, 0.19629082083702087, 0.21857620775699615, -0.4421119689941406, 0.270118772983551, 0.19554775953292847, 0.264802485704422, -0.2942608594894409, 0.47038185596466064, -0.009175236336886883, -0.3453626036643982, -0.245284304022789, -0.3587845265865326, -0.032518062740564346, -0.3314956724643707, -0.1791788935661316, 0.13602222502231598, -0.1991756111383438, -0.1316131204366684, 0.2653150260448456, 0.17801213264465332, 0.29127609729766846, 0.06296472251415253, -0.05030304938554764, 0.08045261353254318, 0.030180077999830246, -0.6885026693344116, 0.1134706437587738, -0.10673506557941437, 0.47540244460105896, 0.5497413277626038, 0.43149930238723755, -0.40274950861930847, -0.36755070090293884, 0.03953208774328232, -0.17920024693012238, -0.01216571219265461, 0.5291495323181152, -0.23341506719589233]"
가능,"[0.05691090598702431, -1.2924810647964478, -0.11533211171627045, -0.1615297794342041, 0.5696529150009155, -0.5151777267456055, 0.5236930251121521, -0.09800446778535843, 0.3255775570869446, -0.1551825851202011, -0.13984861969947815, 0.08435790240764618, -0.8671077489852905, 0.2751961648464203, 0.26913923025131226, 0.8327087163925171, -0.14025883376598358, 0.4870166480541229, -0.08327049762010574, 0.12881992757320404, -0.1428452581167221, 0.026098571717739105, 0.16311800479888916, 0.6025556921958923, -0.05513983219861984, -0.21075521409511566, 0.28973039984703064, 0.2788117825984955, 0.035017404705286026, 0.24571974575519562, -0.1915496438741684, 0.30156534910202026, 0.10887066274881363, -0.049609728157520294, -0.5417414307594299, 0.13339151442050934, 0.2850279211997986, -0.6868121027946472, -0.2786422073841095, -1.0141358375549316, -0.6283264756202698, -0.5254857540130615, 0.7528784275054932, -0.23614320158958435, -0.12644411623477936, 0.18022195994853973, -0.11947603523731232, 0.9501699209213257, -0.20240327715873718, 0.3976910412311554, -0.18865743279457092, 0.17445464432239532, 0.3837294280529022, 0.1215292289853096, 0.07624434679746628, -0.08960306644439697, -0.3876374363899231, 0.35090309381484985, 0.30359381437301636, 0.26373186707496643, 0.1769033521413803, 0.6421891450881958, 0.8611284494400024, 0.29901620745658875, -0.08752314001321793, 0.15450820326805115, -0.33868712186813354, 0.7524741291999817, -0.5596949458122253, 0.10565946251153946, -0.42525309324264526, -0.293774276971817, -0.1460103541612625, -0.9468964338302612, 0.24142266809940338, 0.08380939066410065, -0.4283371567726135, 0.6782923936843872, -0.5942705869674683, -0.04635392874479294, -0.2921541631221771, 0.1769355982542038, 0.7641005516052246, 0.113037109375, -0.1991247832775116, 0.12019631266593933, 0.44151487946510315, -0.20857568085193634, 0.03006775677204132, -0.19617870450019836, 0.5950014591217041, 0.48697006702423096, 0.2015700489282608, -0.24764032661914825, 0.11206231266260147, 0.1896476447582245, 0.31770867109298706, 0.5191338658332825, 0.5486556887626648, 0.09386312961578369]"
선명,"[-0.5572161078453064, -0.6175111532211304, 0.022746065631508827, -0.41007110476493835, 0.3777269423007965, 0.3593181073665619, -0.15812572836875916, -0.014111772179603577, 0.2154453992843628, 0.0359848216176033, -0.27919167280197144, -0.3084055483341217, -0.7898240685462952, 0.2720562219619751, 0.5504609942436218, 0.6613776087760925, -0.5462649464607239, 0.33289337158203125, 0.23175866901874542, -0.030660560354590416, -0.4266284704208374, 0.7066053152084351, 0.1367967277765274, 0.1302638202905655, 0.3268429934978485, -0.45564398169517517, -0.07964087277650833, 0.4433077871799469, 0.2546840310096741, 0.8806018233299255, -0.312366783618927, -0.07561952620744705, -0.4430573582649231, -0.46769317984580994, -0.3143651783466339, 1.1455825567245483, -0.06660670042037964, -0.4554124176502228, -0.25322380661964417, -0.9818997383117676, -0.17759227752685547, -0.6509092450141907, -0.5683547258377075, -0.5715543627738953, 0.21219472587108612, -0.08838926255702972, 0.9074363112449646, 0.46025747060775757, -0.3393878638744354, -0.2859813868999481, -0.7324720025062561, -0.27447155117988586, 0.801569402217865, 0.6087425351142883, -0.2971732020378113, -0.29789334535598755, -0.16420193016529083, 0.2368500977754593, -0.37964293360710144, 0.3049098551273346, -0.11218395829200745, 0.45163804292678833, 0.9589958190917969, 0.3979910910129547, 0.14952629804611206, -0.028174759820103645, -0.563015341758728, -0.3548817038536072, -0.9322987198829651, -0.28304430842399597, -0.30411332845687866, -0.08841527998447418, 0.34686508774757385, 0.13344691693782806, 0.2345701903104782, -0.716174840927124, -0.41486304998397827, 0.4204099178314209, -0.00474159000441432, -0.2709701657295227, 0.9507551789283752, 0.0409625843167305, 0.5637701749801636, -0.19642598927021027, -0.0995609238743782, 0.11164478212594986, -0.06513705849647522, -0.5500293970108032, -0.3092104494571686, -0.6031842827796936, 0.8591188192367554, 0.19496847689151764, 0.5381856560707092, 0.6672676801681519, -0.8771032691001892, 0.3387816250324249, 0.09561653435230255, 0.3636537194252014, -0.1672329306602478, -0.37028175592422485]"
적당,"[0.8001240491867065, -0.6722081899642944, -0.4306258261203766, -0.294671893119812, 0.5412158370018005, -0.12105050683021545, 0.4213027358055115, 0.050839293748140335, 0.34223687648773193, -0.13054203987121582, -0.0700685903429985, -0.17190316319465637, -0.7731147408485413, -0.23439128696918488, 0.188126802444458, 0.7812261581420898, -0.22503843903541565, 0.5934993028640747, 0.2575313150882721, 0.11564372479915619, 0.11200708150863647, 0.2828734219074249, 0.28366056084632874, -0.3046151101589203, 0.04998961463570595, -0.3222196400165558, 0.6006383895874023, 0.3722033202648163, 0.19335633516311646, 0.14570772647857666, -0.20425596833229065, 0.05710632726550102, 0.1718447059392929, 0.4017864167690277, 0.1862831711769104, 0.24530918896198273, 0.20628367364406586, -0.4457029700279236, -0.3223634660243988, -0.6118305921554565, -0.612747073173523, -0.09125228971242905, 0.2715357542037964, -0.7074354290962219, -0.19718043506145477, 0.21651460230350494, 0.5350464582443237, 0.3229708671569824, -0.319923460483551, -0.40496888756752014, -0.006880529224872589, 0.040420640259981155, -0.16217699646949768, 0.4277465045452118, -0.12995313107967377, 0.32278257608413696, 0.009093315340578556, 0.03887797147035599, 0.37095391750335693, 0.12181191891431808, -0.3887178599834442, 0.6230797171592712, 0.20201531052589417, 0.9610239863395691, -0.4635472297668457, 0.14162802696228027, -0.2554352879524231, 0.38314270973205566, -0.2020595520734787, 0.027118099853396416, -0.4251309931278229, -0.1372043639421463, 0.28194230794906616, -0.34964996576309204, 0.27850836515426636, -0.2606414258480072, -0.38783198595046997, 0.07637979090213776, -0.39618709683418274, 0.31470057368278503, -0.19199155271053314, 0.09555049985647202, 0.47378918528556824, 0.14754718542099, -0.21207167208194733, 0.24889914691448212, 0.26579219102859497, -0.7962521314620972, 0.2923286557197571, -0.2694707214832306, 1.0022809505462646, 0.4873659014701843, 0.05495272949337959, 0.019659673795104027, -0.15135423839092255, 0.6770171523094177, 0.21749155223369598, 0.30293554067611694, 0.20687036216259003, 0.5411166548728943]"
저렴,"[0.5328913331031799, -1.2069754600524902, -0.024843696504831314, -0.4246237874031067, 0.6762964129447937, 0.5754635334014893, 0.34543049335479736, -0.31635671854019165, 0.64997798204422, 0.05610093101859093, -0.3454168736934662, 0.35497450828552246, -0.9381046891212463, 0.3355345129966736, -0.04085419327020645, 0.4115094542503357, 0.11421728879213333, 0.24127022922039032, 0.1664426624774933, 0.19715231657028198, 0.11170526593923569, 0.8243341445922852, -0.005348625592887402, -0.37381264567375183, -0.3340672254562378, -0.4038889408111572, 0.495393842458725, 0.059646423906087875, -0.11259043961763382, 0.13607154786586761, -0.2921288311481476, -0.17085812985897064, 0.39873725175857544, 0.17267364263534546, 0.09475208073854446, -0.03317716345191002, 0.46956536173820496, -1.2586265802383423, -0.5896148681640625, -1.2598408460617065, -0.3374752402305603, -0.7179812788963318, 0.15353864431381226, -0.0586097277700901, 0.2297392040491104, 0.07523047924041748, 0.8006855845451355, 0.557729184627533, -0.6171912550926208, -0.304828941822052, 0.21040049195289612, 0.024184593930840492, -0.4500506818294525, 0.5094881653785706, -0.5430029630661011, 0.47248196601867676, 0.08243090659379959, 0.434243768453598, 0.039264556020498276, 0.6552585959434509, -0.21815669536590576, 0.09578566253185272, 0.4279516041278839, 0.34565040469169617, -0.06733570992946625, 0.4907347857952118, -0.4654119312763214, -0.19975000619888306, -0.23031499981880188, 0.13913694024085999, -0.8671446442604065, -0.5436948537826538, -0.010942614637315273, -0.6265919208526611, 0.483060747385025, -0.18976302444934845, -0.4971622824668884, 0.18184036016464233, -0.41211357712745667, -0.09528056532144547, 0.09945636987686157, -0.34129953384399414, 0.234226256608963, 0.06486468017101288, -0.27123597264289856, 0.3911963701248169, 0.720726490020752, -0.021842358633875847, 0.13549061119556427, 0.01657308079302311, 0.7704532146453857, 0.5241811275482178, 0.7160780429840088, -0.7514525651931763, -0.05503511056303978, 0.17831085622310638, 0.03551267087459564, -0.37724363803863525, 0.6319708228111267, 0.060141146183013916]"
끈적,"[0.06141631677746773, -0.34988731145858765, -0.23972561955451965, -0.02552495338022709, 0.6115049123764038, 0.16027230024337769, 0.028888344764709473, 0.012822099961340427, 0.2203516811132431, 0.27359938621520996, 0.15478646755218506, -0.33964821696281433, -0.6571320295333862, -0.01162882149219513, 0.17841467261314392, 0.41929689049720764, -0.38611674308776855, 0.45510751008987427, 0.7047153115272522, -0.13377594947814941, -0.32784000039100647, 0.3980339467525482, 0.056523554027080536, 0.0832483172416687, -0.21333466470241547, 0.18294839560985565, 0.43279603123664856, -0.3926205635070801, -0.05637677013874054, 0.047498736530542374, -0.1552385538816452, 0.3033047020435333, 0.05717109888792038, 0.1787009984254837, 0.2535589635372162, 0.4110485315322876, 0.3113168478012085, -0.05097787827253342, -0.025507565587759018, -0.5049265623092651, -0.3326730728149414, -0.20173150300979614, 0.12086556106805801, -0.1705905646085739, 0.023612411692738533, 0.18038901686668396, 0.4775265157222748, 0.5592280030250549, -0.36290261149406433, -0.10444001853466034, 0.03005076013505459, 0.1280278116464615, -0.3183191418647766, 0.012746542692184448, -0.1642063707113266, 0.4197385907173157, 0.20028093457221985, 0.14949800074100494, 0.41935425996780396, -0.04805837571620941, -0.6227338314056396, 0.42867511510849, 0.17095144093036652, 0.21793700754642487, -0.3221706748008728, 0.4458051919937134, -0.011958159506320953, 0.12352848052978516, -0.3488258719444275, -0.20448093116283417, -0.514568567276001, -0.23123663663864136, -0.02851751260459423, 0.13035283982753754, 0.21931734681129456, -0.31045421957969666, -0.10415314882993698, 0.3453863561153412, -0.26954835653305054, 0.30466312170028687, 0.24696357548236847, -0.46128442883491516, 0.02680070698261261, -0.016647476702928543, 0.01164757926017046, 0.23226456344127655, -0.13148175179958344, -0.04999379813671112, 0.4475763142108917, 0.03176071494817734, 0.22198046743869781, -0.07407847791910172, 0.07648453116416931, 0.38902318477630615, -0.2705343961715698, 0.3712475895881653, 0.3141637146472931, 0.0541042797267437, 0.1566489189863205, 0.2255886048078537]"
다양,"[0.21260279417037964, -0.6699017286300659, -0.23120862245559692, 0.2933359444141388, 0.40608343482017517, 0.3192676603794098, 0.6629191040992737, -0.30077746510505676, 0.211509108543396, 0.0026481200475245714, 0.24231475591659546, -0.35641440749168396, -1.0495678186416626, -0.11539779603481293, 0.21737800538539886, 0.5961581468582153, 0.012954698875546455, 0.7429904937744141, 0.6010364294052124, 0.152211993932724, 0.2452675700187683, 0.4469945430755615, 0.6784147024154663, -0.022059274837374687, -0.4753262996673584, -0.2859961986541748, 0.051858559250831604, -0.1464260071516037, 0.06404401361942291, 0.31336307525634766, -0.38245314359664917, 0.11691109091043472, 0.12777183949947357, -0.21532262861728668, 0.03118186630308628, -0.13546718657016754, 0.40586236119270325, -0.5185762643814087, -0.3151335120201111, -0.9725514054298401, -0.2445121854543686, -0.25518596172332764, 0.3421889543533325, -0.13162557780742645, -0.05808994919061661, -0.2686174511909485, 0.17192278802394867, 0.576894223690033, -0.15173637866973877, -0.2927592098712921, -0.10152804851531982, 0.16540922224521637, -0.17069506645202637, 0.15546773374080658, -0.44473785161972046, 0.3171933591365814, 0.12521898746490479, 0.06888826191425323, 0.19024506211280823, -0.25721365213394165, -0.3524264991283417, 0.13985949754714966, 0.4555320143699646, 0.18515604734420776, -0.39452531933784485, 0.36488640308380127, -0.29149699211120605, 0.40932685136795044, 0.10046572983264923, 0.14918175339698792, 0.156570166349411, -0.4464784264564514, 0.19567540287971497, -0.6259813904762268, 0.4666910767555237, -0.8403651118278503, -0.8945592641830444, 0.746666669845581, -0.4866066575050354, 0.26893842220306396, -0.254957377910614, 0.44524478912353516, 0.14716802537441254, 0.02183811366558075, 0.05615663155913353, -0.028216933831572533, 0.32583919167518616, -0.4505382776260376, -0.03565604239702225, -0.1287960559129715, 0.6672199964523315, 0.4911295175552368, 0.015726353973150253, -0.12745216488838196, -0.7420980334281921, 0.45707839727401733, 0.09348230808973312, 0.3575354814529419, 0.4323801100254059, 0.3424130082130432]"
단단,"[0.13285601139068604, -0.51453697681427, -1.0341150760650635, 0.23994502425193787, 0.7825620174407959, 0.20170803368091583, 0.08063721656799316, -0.9255950450897217, 0.4683855175971985, -0.07459069788455963, -0.14478084444999695, -0.6323527693748474, -1.0876680612564087, 0.09555142372846603, 0.2654488682746887, 0.5993223786354065, -0.5066704154014587, 0.17132948338985443, 0.5348631739616394, -0.3634475767612457, -0.07731950283050537, 0.3550373911857605, 0.1921728253364563, -0.2721862494945526, -0.2659595310688019, -0.22807173430919647, 0.5417816042900085, -0.13418574631214142, -0.028241291642189026, 0.07516976445913315, -0.28846001625061035, 0.1989368200302124, 0.04702216386795044, 0.17615030705928802, 0.1656620055437088, 0.34503915905952454, 0.547863245010376, -0.6829003691673279, -0.4567530155181885, -0.8136348724365234, -0.6215343475341797, -0.2184571623802185, 0.1571023017168045, 0.17325232923030853, -0.1866336613893509, 0.12421607226133347, 0.6004330515861511, 0.4206470847129822, -0.9625895619392395, -0.824986457824707, 0.22276368737220764, 0.06731223315000534, -0.6392197608947754, 0.6465778350830078, -0.12046395242214203, 0.22755984961986542, -0.053740244358778, 0.46015220880508423, 0.6402033567428589, -0.1928710639476776, -0.5350443720817566, 0.5784755349159241, -0.20045767724514008, 0.5410179495811462, -0.5243159532546997, 0.821051299571991, 0.08932332694530487, -0.09457952529191971, -0.1724768728017807, 0.019554132595658302, -0.34589970111846924, -0.27693110704421997, 0.5095109939575195, 0.10564113408327103, 0.2930697798728943, -0.2543375492095947, 0.16004081070423126, 0.29097217321395874, -0.04201844334602356, 0.04556046426296234, 0.22688555717468262, -0.3811112642288208, 0.09696123749017715, -0.13799743354320526, -0.14268213510513306, 0.5507426261901855, -0.19102329015731812, 0.20462840795516968, 0.5958775877952576, -0.7506977915763855, 0.6864702701568604, -0.0048330239951610565, 0.27902886271476746, 0.22586467862129211, -0.6512578129768372, 0.49627920985221863, 0.2773071527481079, 0.25680282711982727, -0.030793629586696625, -0.1255018413066864]"
깔끔,"[0.19388306140899658, -0.8193004727363586, -0.3795514702796936, -0.0952945277094841, 0.45558685064315796, 0.1084023118019104, 0.45474421977996826, -0.17116288840770721, 0.3919704854488373, -0.27353349328041077, -0.30643782019615173, -0.020396890118718147, -0.43962639570236206, 0.24429483711719513, 0.6232708692550659, 0.781160831451416, -0.5117455124855042, 0.2245420515537262, 0.2822851538658142, -0.23205120861530304, -0.2421812117099762, 0.3539769649505615, 0.02474370226264, -0.30460289120674133, -0.06376899778842926, -0.9290961027145386, 0.35044631361961365, -0.2609407603740692, 0.3423837721347809, -0.05683235824108124, -0.5223103761672974, -0.3530582785606384, 0.11644978821277618, -0.25512367486953735, -0.09081247448921204, 0.572441577911377, 0.1422697752714157, -0.3870202302932739, -0.5491910576820374, -1.0585817098617554, -0.8004664778709412, -0.508630096912384, -0.04626953601837158, -0.28439265489578247, 0.10965248942375183, -0.011675379239022732, 0.8111857175827026, -0.05879034474492073, -0.023787036538124084, -0.7054325342178345, -0.26287803053855896, -0.25608766078948975, -0.5846067070960999, 0.5491854548454285, -0.05121173337101936, -0.03130403533577919, -0.332846075296402, 0.5155137181282043, 0.2982918322086334, 0.17621003091335297, -0.4891171157360077, 0.6051798462867737, 0.17620083689689636, 0.374702125787735, -0.4674765467643738, 0.1797914206981659, -0.47074180841445923, -0.2166675627231598, -0.20306098461151123, -0.3183887302875519, -0.9983481168746948, -0.8498420715332031, 0.7992504835128784, -0.46146440505981445, 0.34309256076812744, -0.3048228621482849, 0.206633523106575, 0.28683680295944214, -0.6461240649223328, 0.07928485423326492, -0.4255540370941162, -0.10298269987106323, 0.26954424381256104, -0.084274522960186, -0.15320800244808197, 0.262399822473526, 0.07056371122598648, -0.3768492043018341, -0.08577480167150497, -0.8241575956344604, 0.5724115967750549, 0.37531888484954834, 0.4881661534309387, 0.23882870376110077, -0.44068852066993713, 0.14741724729537964, 0.6188767552375793, -0.13275863230228424, 0.27509623765945435, -0.06623604893684387]"
시원,"[0.24601086974143982, -0.3235396146774292, 0.03889039158821106, 0.4788649380207062, 0.5922436714172363, 0.3409282863140106, -0.10103217512369156, -0.539132833480835, 0.4994945228099823, -0.2773880660533905, -0.35209646821022034, -0.17936280369758606, -0.36249735951423645, -0.08231831341981888, 0.24204248189926147, 0.7930585145950317, -0.28601449728012085, 0.20263944566249847, 0.5252735614776611, 0.005466976668685675, -0.12434656172990799, 0.5139816403388977, 0.006885624956339598, 0.21214202046394348, -0.03179090842604637, -0.2702048718929291, 0.5308400392532349, -0.04506298899650574, 0.0670849159359932, 0.2923329472541809, -0.28764504194259644, 0.1802697330713272, -0.7019035220146179, 0.24650056660175323, -0.05266508087515831, 0.8433356285095215, 0.4147547781467438, 0.026852333918213844, -0.678900420665741, -0.8678717613220215, -0.5009936690330505, -0.20386245846748352, 0.050508931279182434, -0.2806825041770935, 0.03176695480942726, 0.08416527509689331, 0.3795325756072998, 0.11405386030673981, 0.02419264055788517, -0.86138516664505, 0.2359277755022049, -0.08710154891014099, -0.40082257986068726, 0.27521181106567383, -0.16182589530944824, 0.10365492850542068, 0.2977938652038574, 0.6436948180198669, 0.03038046881556511, 0.0828607901930809, -1.0193227529525757, -0.39415106177330017, 0.08657823503017426, 0.12783381342887878, -0.6654354333877563, 0.11532911658287048, -0.44989481568336487, -0.03688730672001839, -0.2631765604019165, 0.46426329016685486, -0.2132950872182846, 0.100905641913414, -0.006281951442360878, 0.3712659180164337, 0.5224006175994873, -0.4745360314846039, -0.26819249987602234, -0.22288508713245392, -0.45031508803367615, 0.08328858017921448, -0.36974143981933594, -0.16249217092990875, 0.4633747935295105, -0.2923811972141266, -0.615676999092102, 0.04959138110280037, -0.013009892776608467, -0.6080347299575806, 0.4077868163585663, -0.7931743860244751, 0.5421329140663147, 0.09121792018413544, 0.262841135263443, 0.14534686505794525, -0.11007947474718094, 0.5776082277297974, -0.09321267157793045, -0.24589553475379944, 0.012596695683896542, 0.42334282398223877]"
매끈,"[0.25655630230903625, -0.46495553851127625, -0.7132291793823242, -0.17023393511772156, 0.7059187293052673, 0.03996233269572258, 0.36897990107536316, -0.3886389434337616, 0.4422048330307007, -0.17265108227729797, 0.2435169816017151, -0.37856996059417725, -0.7812803387641907, -0.2159213423728943, 0.2913595736026764, 0.5210318565368652, -0.6580021977424622, 0.3618577718734741, 0.6360812783241272, -0.2720264494419098, -0.44246724247932434, 0.3258266746997833, 0.17747126519680023, 0.1914616823196411, 0.030761251226067543, 0.0024436512030661106, 0.60625821352005, -0.03439810127019882, 0.0734732374548912, -0.0217849463224411, -0.1896306425333023, 0.4012649357318878, 0.10337179154157639, -0.0021553519181907177, -0.10292773693799973, 0.716469407081604, 0.3380647301673889, -0.4933740794658661, -0.06626299768686295, -0.4810308516025543, -0.6636412143707275, -0.1506066620349884, -0.011614799499511719, 0.048140570521354675, 0.1828875094652176, 0.033018432557582855, 0.467284619808197, 0.5732228755950928, -0.7392230033874512, -0.5183422565460205, 0.045121289789676666, 0.2598024606704712, -0.1998758465051651, 0.44993534684181213, -0.3627456724643707, 0.42877069115638733, -0.061434030532836914, 0.3686453402042389, 0.18200185894966125, 0.029000699520111084, -0.5537551641464233, 0.669109582901001, -0.16477373242378235, 0.2287219613790512, -0.11654102057218552, 0.4653129577636719, -0.2666471302509308, 0.06749096512794495, -0.4316332936286926, -0.06310195475816727, -0.569436252117157, -0.6307652592658997, 0.38481736183166504, 0.14790184795856476, 0.4046505093574524, -0.6827276349067688, 0.03453832119703293, 0.039061322808265686, -0.40378302335739136, -0.026084639132022858, 0.29764270782470703, -0.09404685348272324, 0.2808319628238678, -0.21524371206760406, -0.17285853624343872, 0.6425535678863525, 0.27586647868156433, -0.07782476395368576, 0.3025948703289032, -0.619017481803894, 0.5175356268882751, 0.26973262429237366, -0.0455474779009819, 0.26139724254608154, -0.7335929274559021, 0.4781968891620636, 0.7593293786048889, 0.12255444377660751, 0.09826034307479858, 0.25726771354675293]"
간편,"[0.5945298671722412, -0.9167316555976868, -0.010379080660641193, -0.6482669115066528, 0.3097269833087921, 0.17759576439857483, 0.35592004656791687, -0.19030581414699554, 0.506041944026947, -0.4323997497558594, -0.17286792397499084, 0.5271185636520386, -0.6020169854164124, 0.2982923686504364, 0.3062824606895447, 0.6115766763687134, -0.19495676457881927, 0.3088786005973816, 0.4247629642486572, 0.13444918394088745, -0.10937309265136719, 0.3521137237548828, -0.0778147503733635, -0.1700066328048706, -0.2420244961977005, -0.11770998686552048, 0.06801318377256393, -0.15195618569850922, 0.06960354000329971, 0.3466215133666992, -0.06484822928905487, 0.2522670030593872, 0.24761393666267395, -0.07732457667589188, 0.04315735399723053, -0.2933650314807892, 0.6873919367790222, -0.783043384552002, -0.27698951959609985, -1.441896915435791, -0.4596482515335083, -0.8713865876197815, -0.13204781711101532, -0.2856743335723877, 0.2112930715084076, -0.011696707457304, 0.264840304851532, 0.3508846163749695, -0.3672718107700348, -0.19122600555419922, 0.0027487133629620075, -0.10220220685005188, -0.08540964126586914, 0.30659928917884827, -0.013618639670312405, 0.28843259811401367, -0.3050568699836731, 0.5614818334579468, 0.17406579852104187, 0.6591171026229858, -0.5956192016601562, 0.30076271295547485, 0.2847657799720764, 0.719811201095581, -0.17134279012680054, 0.14996181428432465, -0.5128412842750549, 0.042092084884643555, -0.35466763377189636, -0.0543169267475605, -0.5600706338882446, -0.6754186749458313, -0.033415935933589935, -0.8077453374862671, 0.22015230357646942, -0.45654669404029846, -0.2769153416156769, 0.5142384171485901, -0.5986233353614807, 0.2399461269378662, -0.09506454318761826, 0.01847263239324093, 0.8251326680183411, 0.11279864609241486, -0.36778175830841064, 0.5201781988143921, 0.3390409052371979, -0.3513687252998352, 0.16177885234355927, -0.48067042231559753, 0.5775002837181091, 0.40116026997566223, -0.04215105623006821, -0.11346828937530518, -0.419262170791626, 0.563363790512085, 0.07815693318843842, -0.027843456715345383, 0.5420831441879272, 0.26429271697998047]"
미세,"[0.056598562747240067, -0.48825395107269287, -0.5362901091575623, -0.18293657898902893, 0.9034925103187561, -0.16615980863571167, 0.21345236897468567, -0.34123495221138, 0.1172247901558876, -0.14020171761512756, 0.19448888301849365, -0.38660091161727905, -0.4498499929904938, -0.10799980163574219, 0.05412934720516205, 0.23825426399707794, -1.02692711353302, 0.36956310272216797, 0.9489550590515137, -0.43232226371765137, 0.103919118642807, 0.04286068305373192, 0.9041888117790222, -0.26214057207107544, 0.07926296442747116, -0.4030638635158539, 0.20284344255924225, -0.24065957963466644, -0.1637665182352066, 0.17300806939601898, -0.7373059988021851, 0.461236834526062, 0.08659019321203232, 0.3738202154636383, -0.24544037878513336, 0.37009724974632263, 0.40059131383895874, -0.48745742440223694, 0.2939721643924713, -1.0790188312530518, -0.5963392853736877, -0.15256716310977936, -0.016574837267398834, 0.056629545986652374, -0.1993332952260971, 0.2672746777534485, 0.3446698486804962, 0.631888210773468, -0.19149518013000488, 0.10286467522382736, -0.32774463295936584, -0.01113309245556593, 0.08482015132904053, 0.6881502866744995, -0.12355474382638931, 0.2387383133172989, 0.2876538038253784, 0.1794642060995102, 0.09961358457803726, -0.2720142900943756, -0.515886127948761, 0.8780106902122498, 0.04057890549302101, 0.1183130070567131, 0.12991701066493988, 0.4987870454788208, -0.3086838722229004, 0.36461713910102844, -0.35463470220565796, -0.19610488414764404, -0.0015507382340729237, 0.028135398402810097, 0.04240388423204422, 0.3049553334712982, 0.7360343933105469, -0.3408532738685608, -0.38672885298728943, 0.4535212814807892, 0.12387361377477646, 0.23697161674499512, 0.0036777923814952374, 0.23067155480384827, 0.585333526134491, -0.04261515662074089, 0.1273227334022522, 0.7816490530967712, -0.16700983047485352, 0.04150533303618431, -0.06754045933485031, 0.0159361120313406, 0.7842846512794495, -0.2382713258266449, -0.1169700101017952, 0.4309301972389221, -0.5913703441619873, 0.3181713819503784, 0.1675410121679306, -0.010676585137844086, 0.3301982879638672, -0.04818381741642952]"
